Client_ID,Sales_Rep_ID,Salary,DOB,AUM,Race,Gender,Occupation,Days_with_Bank,Customer_Status,Contacted_Date,Contact_Channel,Appointment Date,Product_Purchased_1,APE,UT_Volume,Product_Status,Date_Closed,Mortage_Amount
C08604,SR119,4081,4/10/1960,"$78,279",Malay,Male,Manager,933,Won - closed,2 Jan 2025,Branch Walk-in,2 Jan 2025,Endowment B,24963,,,2 Jan 2025,
C14173,SR036,4701,6/4/1982,"$60,987",Chinese,Male,Engineer,2971,"Client met, not won",3 Jan 2025,Phone,8 Jan 2025,,,,,,
C09875,SR084,3760,12/26/1976,"$137,008",Indian,Female,Teacher,1848,"Client met, not won",4 Jan 2025,Phone,9 Jan 2025,,,,,,
C10513,SR029,4393,3/14/1981,"$185,419",Chinese,Male,Engineer,71,"Client met, not won",5 Jan 2025,Phone,11 Jan 2025,,,,,,
C10057,SR090,4745,2/10/1976,"$132,548",Chinese,Female,Student,2230,"Client met, not won",6 Jan 2025,Phone,12 Jan 2025,,,,,,
C05015,SR111,6488,8/27/1971,"$108,320",Chinese,Male,Manager,1451,"Client met, not won",7 Jan 2025,Phone,15 Jan 2025,,,,,,
C11951,SR058,8291,7/8/1962,"$104,063",Indian,Male,Student,1332,"Client met, not won",8 Jan 2025,Phone,16 Jan 2025,,,,,,
C02340,SR032,6886,4/25/1972,"$98,896",Chinese,Female,Banker,151,"Client met, not won",9 Jan 2025,Phone,17 Jan 2025,,,,,,
C11335,SR022,4773,6/10/1982,"$109,482",Chinese,Male,Engineer,665,"Client met, not won",10 Jan 2025,Phone,20 Jan 2025,,,,,,
C02252,SR061,5022,10/2/1972,"$134,491",Chinese,Female,Student,217,No show,11 Jan 2025,Phone,23 Jan 2025,,,,,,
C10633,SR060,5562,2/9/1987,137329,Chinese,Male,Manager,1359,"Client met, not won",12 Jan 2025,Branch Walk-in,12 Jan 2025,,,,,,
C02936,SR081,4180,6/15/1972,"$157,651",Chinese,Male,Self-Employed,33,"Client met, not won",13 Jan 2025,Branch Walk-in,13 Jan 2025,,,,,,
C07955,SR094,3146,5/22/1962,"$144,123",Chinese,Female,Manager,1681,"Client met, not won",14 Jan 2025,Branch Walk-in,14 Jan 2025,,,,,,
C09645,SR042,5182,10/3/1960,"$128,433",Chinese,Male,Accountant,46,"Client met, not won",15 Jan 2025,Branch Walk-in,15 Jan 2025,,,,,,
C14868,SR035,7332,11/27/1997,"$48,550",Chinese,Male,Self-Employed,2594,"Client met, not won",2 Jan 2025,Phone,16 Jan 2025,,,,,,
C05832,SR016,6729,6/26/1979,"$129,039",Chinese,Male,Banker,105,"Client met, not won",3 Jan 2025,Phone,17 Jan 2025,,,,,,
C07635,SR056,4364,2/11/1961,"$153,924",Chinese,Male,Student,2119,"Client met, not won",2 Jan 2025,Phone,7 Jan 2025,,,,,,
C01479,SR014,6325,1/28/1964,"$108,902",Indian,Male,Self-Employed,2888,"Client met, not won",3 Jan 2025,Phone,6 Jan 2025,,,,,,
C08174,SR091,5646,12/8/1976,"$120,528",Chinese,Male,Engineer,2118,"Client met, not won",3 Jan 2025,Phone,4 Jan 2025,,,,,,
C10803,SR088,5590,11/5/1978,"$47,211",Chinese,Female,Engineer,1842,Won - closed,7 Jan 2025,Branch Walk-in,7 Jan 2025,Unit Trust,,118000,Active,7 Jan 2025,
C08108,SR116,5700,1/21/1973,"$77,523",Chinese,Female,Teacher,1594,"Client met, not won",8 Jan 2025,Phone,10 Jan 2025,,,,,,
C11484,SR111,4983,4/22/1987,"$81,014",Chinese,Male,Teacher,195,"Client met, not won",9 Jan 2025,Phone,11 Jan 2025,,,,,,
